"","congress","n","chamber","coord1D_median_100","coord1D_median_200","dim1_median_100","dim1_median_200"
"1",88,234,"House",0.0661743395030498,0.239333488047123,-0.3445,0.2445
"2",89,275,"House",0.051693832501769,0.242538765072823,-0.35,0.243
"3",90,338,"House",0.0524201542139053,0.244610786437988,-0.347,0.243
"4",91,382,"House",0.0524201542139053,0.253057926893234,-0.345,0.246
"5",92,435,"House",0.044892342761159,0.24706457555294,-0.3475,0.246
"6",93,428,"House",0.0292965341359377,0.253057926893234,-0.351,0.25
"7",94,440,"House",-0.00648604659363627,0.254479795694351,-0.338,0.25
"8",95,438,"House",-0.0135590918362141,0.272915065288544,-0.323,0.262
"9",96,435,"House",-0.0294114481657743,0.29423987865448,-0.321,0.279
"10",97,436,"House",-0.035550557076931,0.330244481563568,-0.319,0.306
"11",98,435,"House",-0.0650158300995827,0.358901768922806,-0.3155,0.328
"12",99,436,"House",-0.0726204812526703,0.368777245283126,-0.3185,0.344
"13",100,437,"House",-0.0742587149143219,0.377904519438744,-0.32,0.346
"14",101,440,"House",-0.0864082127809525,0.368777245283126,-0.32,0.3395
"15",102,433,"House",-0.0985291674733162,0.387247115373612,-0.32,0.3475
"16",103,421,"House",-0.182288385927677,0.476773500442505,-0.351,0.377
"17",104,441,"House",-0.235850788652897,0.497327119112015,-0.38,0.385
"18",105,440,"House",-0.275105476379395,0.515015959739685,-0.383,0.39
"19",106,436,"House",-0.323071792721748,0.51765051484108,-0.3835,0.391
"20",107,438,"House",-0.339725524187088,0.552612960338593,-0.3835,0.4025
"21",108,433,"House",-0.386571273207664,0.568813800811768,-0.3845,0.404
"22",109,436,"House",-0.409369885921478,0.58535373210907,-0.392,0.409
"23",110,448,"House",-0.398128643631935,0.62587058544159,-0.38,0.426
"24",111,447,"House",-0.388556018471718,0.652322292327881,-0.3495,0.449
"25",112,445,"House",-0.476292997598648,0.679872989654541,-0.396,0.467
"26",113,445,"House",-0.476373612880707,0.69348293542862,-0.393,0.49
"27",114,442,"House",-0.508631825447083,0.709463477134705,-0.396,0.49
"28",115,449,"House",-0.508631825447083,0.716358929872513,-0.395,0.497
"29",116,446,"House",-0.516460418701172,0.732773423194885,-0.376,0.506
"30",117,381,"House",-0.513484805822373,0.731532514095306,-0.383,0.498
"31",88,64,"Senate",-0.199640020728111,0.262270152568817,-0.319,0.275
"32",89,69,"Senate",-0.197204329073429,0.262270152568817,-0.316,0.308
"33",90,76,"Senate",-0.197204329073429,0.158262088894844,-0.311,0.279
"34",91,92,"Senate",-0.204229407012463,0.175080604851246,-0.316,0.273
"35",92,100,"Senate",-0.199640020728111,0.114325627684593,-0.311,0.271
"36",93,101,"Senate",-0.254235111176968,0.178596943616867,-0.319,0.278
"37",94,100,"Senate",-0.265632674098014,0.203922852873802,-0.319,0.2805
"38",95,100,"Senate",-0.273172959685326,0.225159853696823,-0.327,0.2935
"39",96,100,"Senate",-0.27645942568779,0.221070945262909,-0.319,0.275
"40",97,100,"Senate",-0.269886493682861,0.229248762130737,-0.314,0.287
"41",98,100,"Senate",-0.282903030514717,0.225159853696823,-0.314,0.285
"42",99,99,"Senate",-0.368991822004318,0.23119742423296,-0.322,0.294
"43",100,99,"Senate",-0.400822579860687,0.229796215891838,-0.313,0.3025
"44",101,101,"Senate",-0.44047449529171,0.28336489200592,-0.306,0.31
"45",102,100,"Senate",-0.449031114578247,0.342469274997711,-0.309,0.31
"46",103,99,"Senate",-0.462413489818573,0.362496346235275,-0.311,0.346
"47",104,101,"Senate",-0.4931361079216,0.438194334506989,-0.309,0.357
"48",105,100,"Senate",-0.537443161010742,0.482457399368286,-0.308,0.381
"49",106,101,"Senate",-0.557840466499329,0.462838470935822,-0.303,0.3735
"50",107,98,"Senate",-0.622227787971497,0.483470305800438,-0.3085,0.3815
"51",108,98,"Senate",-0.617111921310425,0.44569057226181,-0.309,0.364
"52",109,98,"Senate",-0.643755972385406,0.534888565540314,-0.326,0.381
"53",110,99,"Senate",-0.646945714950562,0.547163724899292,-0.3135,0.395
"54",111,102,"Senate",-0.660880237817764,0.571951061487197,-0.311,0.403
"55",112,100,"Senate",-0.694329500198364,0.636943519115448,-0.319,0.416
"56",113,100,"Senate",-0.764673411846161,0.66111421585083,-0.33,0.426
"57",114,98,"Senate",-0.856130182743073,0.689041882753373,-0.3365,0.445
"58",115,100,"Senate",-0.833611696958542,0.695177733898163,-0.3395,0.457
"59",116,94,"Senate",-0.845979571342468,0.719044387340546,-0.343,0.467
"60",117,87,"Senate",-0.833611696958542,0.722119867801666,-0.3395,0.471
