"","chamber","congress","votes_env","votes_pol"
"1","1",88,4,2
"2","1",89,8,1
"3","1",90,11,1
"4","1",91,12,1
"5","1",92,38,1
"6","1",93,28,4
"7","1",94,63,15
"8","1",95,45,9
"9","1",96,32,4
"10","1",97,36,4
"11","1",98,30,1
"12","1",99,28,1
"13","1",100,21,1
"14","1",101,33,11
"15","1",102,11,0
"16","1",103,21,0
"17","1",104,63,0
"18","1",105,31,0
"19","1",106,45,1
"20","1",107,18,2
"21","1",108,13,0
"22","1",109,20,0
"23","1",110,49,7
"24","1",111,50,0
"25","1",112,146,60
"26","1",113,98,22
"27","1",114,130,45
"28","1",115,80,23
"29","1",116,50,15
"30","1",117,21,3
"31","2",88,5,0
"32","2",89,7,1
"33","2",90,6,0
"34","2",91,14,0
"35","2",92,31,4
"36","2",93,21,3
"37","2",94,34,14
"38","2",95,29,12
"39","2",96,23,2
"40","2",97,15,1
"41","2",98,6,0
"42","2",99,12,0
"43","2",100,15,3
"44","2",101,33,21
"45","2",102,14,1
"46","2",103,13,0
"47","2",104,26,0
"48","2",105,14,1
"49","2",106,13,1
"50","2",107,10,0
"51","2",108,13,2
"52","2",109,12,8
"53","2",110,5,4
"54","2",111,14,5
"55","2",112,13,6
"56","2",113,8,4
"57","2",114,25,11
"58","2",115,6,0
"59","2",116,3,1
"60","2",117,21,9
